날짜,시간,시가,고가,저가,종가,거래량,거래대금,누적체결매도수량,누적체결매수수량
20240708,901,17200,17300,17160,17300,2529,43495000,448,2081
20240708,902,17350,17350,17260,17340,1545,26709000,1555,2519
20240708,903,17260,17460,17260,17400,3755,65388000,2008,5821
20240708,904,17350,17410,17350,17380,450,7824000,2333,5946
20240708,905,17370,17370,17250,17280,670,11609000,2811,6138
20240708,906,17280,17280,17260,17280,574,9919000,2885,6638
20240708,907,17300,17380,17250,17260,1615,27969000,3514,7624
20240708,908,17260,17270,17260,17260,1167,20143000,3739,8566
20240708,909,17260,17320,17260,17320,221,3821000,3839,8687
20240708,910,17310,17340,17300,17300,750,12977000,4368,8908
20240708,911,17300,17300,17290,17300,995,17208000,4635,9636
20240708,912,17300,17300,17300,17300,210,3633000,4635,9846
20240708,913,17330,17370,17330,17330,600,10406000,4648,10433
20240708,914,17340,17350,17300,17330,520,9009000,4839,10762
20240708,915,17330,17350,17330,17340,324,5617000,4990,10935
20240708,916,17340,17340,17330,17330,742,12861000,5570,11097
20240708,917,17340,17340,17270,17270,863,14931000,6181,11349
20240708,918,17280,17310,17280,17310,1113,19260000,6232,12411
20240708,919,17310,17340,17310,17340,626,10852000,6426,12843
20240708,920,17350,17360,17350,17360,123,2135000,6426,12966
20240708,921,17360,17370,17360,17370,889,15433000,6986,13295
20240708,922,17370,17420,17370,17390,2428,42231000,6988,15721
20240708,923,17420,17470,17420,17470,4609,80452000,6988,20330
20240708,924,17470,17470,17460,17460,496,8661000,7412,20402
20240708,925,17460,17500,17460,17470,3418,59752000,7484,23748
20240708,926,17480,17500,17460,17460,1414,24723000,8150,24496
20240708,927,17450,17480,17440,17460,1061,18515000,8839,24868
20240708,928,17460,17600,17450,17590,11146,195339000,9385,35468
20240708,929,17600,17650,17600,17610,4345,76541000,10412,38786
20240708,930,17610,17610,17590,17590,1700,29918000,11284,39614
20240708,931,17590,17670,17590,17660,5336,94067000,11500,44734
20240708,932,17670,17670,17660,17670,416,7350000,11529,45121
20240708,933,17660,17670,17640,17640,1042,18401000,12329,45363
20240708,934,17600,17630,17590,17610,2026,35667000,13872,45846
20240708,935,17610,17690,17590,17690,7257,127938000,16728,50247
20240708,936,17690,17690,17640,17670,1461,25794000,17698,50738
20240708,937,17680,17750,17680,17750,7653,135592000,18898,57191
20240708,938,17740,17750,17740,17740,743,13183000,19360,57472
20240708,939,17740,17800,17730,17790,10766,191221000,19655,67943
20240708,940,17780,17880,17770,17860,13767,245493000,20833,80532
20240708,941,17860,17860,17770,17770,2610,46451000,22948,81027
20240708,942,17770,17780,17750,17750,596,10590000,23493,81078
20240708,943,17750,17750,17750,17750,767,13614000,23669,81669
20240708,944,17750,17880,17750,17870,12094,215624000,23844,93588
20240708,945,17870,17920,17860,17860,8222,147157000,25613,100041
20240708,946,17860,17910,17860,17900,6084,108777000,27287,104451
20240708,947,17890,17930,17890,17920,5088,91124000,28361,108465
20240708,948,17920,17920,17880,17880,3295,58951000,31172,108949
20240708,949,17880,17920,17880,17920,1718,30758000,31353,110486
20240708,950,17910,17910,17830,17860,4439,79303000,34991,111287
20240708,951,17860,17870,17850,17850,1405,25092000,36369,111314
20240708,952,17850,17930,17850,17930,2645,47394000,36555,113773
20240708,953,17920,17990,17920,17950,11097,199263000,37703,123722
20240708,954,17960,18100,17960,18100,28686,517079000,39164,150947
20240708,955,18100,18130,18080,18100,13524,244873000,47428,156207
20240708,956,18100,18120,18040,18080,6092,110190000,51798,157929
20240708,957,18080,18100,18070,18070,1357,24539000,52390,158694
20240708,958,18070,18080,18040,18040,2147,38785000,54327,158904
20240708,959,18040,18170,18000,18150,16377,296419000,56701,172907
20240708,1000,18160,18160,18130,18140,2242,40691000,57471,174379
20240708,1001,18130,18160,18130,18140,3460,62781000,58137,177173
20240708,1002,18140,18150,18140,18150,1381,25057000,58965,177726
20240708,1003,18150,18220,18140,18180,16764,304653000,61185,192270
20240708,1004,18200,18230,18180,18200,7712,140371000,64712,196455
20240708,1005,18200,18210,18160,18180,2695,49031000,66906,196956
20240708,1006,18180,18180,18090,18140,2900,52546000,69169,197593
20240708,1007,18140,18140,18100,18100,1436,26008000,70589,197609
20240708,1008,18100,18100,18060,18060,4032,72901000,74591,197639
20240708,1009,18050,18050,18000,18000,1597,28766000,75986,197841
20240708,1010,18010,18030,18000,18010,1270,22873000,76785,198312
20240708,1011,18010,18020,18000,18000,2469,44446000,78098,199468
20240708,1012,18000,18020,17990,18000,752,13540000,78429,199889
20240708,1013,18000,18000,17880,17920,2937,52686000,80411,200844
20240708,1014,17920,17920,17890,17890,598,10712000,80982,200871
20240708,1015,17890,17950,17850,17920,2455,43900000,81935,202373
20240708,1016,17950,18000,17950,18000,449,8076000,81935,202822
20240708,1017,18000,18010,18000,18010,1677,30189000,83244,203190
20240708,1018,18000,18000,17960,17960,399,7176000,83586,203247
20240708,1019,17960,17960,17950,17950,504,9051000,84029,203308
20240708,1020,17940,17940,17900,17940,739,13244000,84766,203310
20240708,1021,17930,17940,17920,17940,1699,30455000,85854,203921
20240708,1022,17940,17940,17920,17930,138,2476000,85892,204021
20240708,1023,17940,17940,17940,17940,71,1273000,85963,204021
20240708,1024,17940,17940,17870,17870,2735,49012000,88697,204022
20240708,1025,17890,17940,17850,17920,2109,37699000,89872,204956
20240708,1026,17910,17930,17900,17930,107,1918000,89904,205031
20240708,1027,17920,17980,17920,17950,127,2279000,89979,205083
20240708,1028,17970,17990,17970,17970,902,16215000,90179,205785
20240708,1029,17970,18020,17950,17990,2144,38581000,90326,207782
20240708,1030,17980,17990,17920,17980,1597,28650000,91104,208601
20240708,1031,17970,18040,17970,18030,2982,53725000,91179,211508
20240708,1032,18040,18040,18000,18000,2628,47332000,93719,211596
20240708,1033,18000,18000,18000,18000,95,1710000,93814,211596
20240708,1034,18000,18030,18000,18030,233,4198000,93932,211711
20240708,1035,18010,18010,17950,17950,3638,65481000,97531,211750
20240708,1036,17970,18000,17960,17970,772,13877000,97642,212411
20240708,1037,17970,17970,17970,17970,157,2821000,97799,212411
20240708,1038,17970,18000,17950,17970,2717,48813000,99803,213124
20240708,1039,17970,17970,17950,17950,232,4164000,100033,213126
20240708,1040,17950,17980,17950,17970,1298,23302000,100199,214258
20240708,1041,17970,17970,17970,17970,8,144000,100199,214266
20240708,1042,17970,18040,17970,18040,1479,26617000,100199,215745
20240708,1043,18050,18060,18040,18040,455,8214000,100220,216179
20240708,1044,18040,18060,18040,18040,1018,18365000,100567,216850
20240708,1045,18040,18050,18040,18040,70,1263000,100602,216885
20240708,1046,18040,18050,18030,18040,263,4745000,100675,217075
20240708,1047,18040,18050,18010,18030,1318,23755000,101681,217387
20240708,1048,18040,18050,18040,18050,12,216000,101681,217399
20240708,1050,18050,18120,18040,18100,9079,164175000,101903,226256
20240708,1051,18100,18100,18080,18090,813,14705000,102490,226482
20240708,1052,18090,18100,18090,18090,347,6278000,102576,226743
20240708,1053,18090,18090,18030,18040,2728,49272000,104395,227652
