날짜,시간,시가,고가,저가,종가,거래량,거래대금,누적체결매도수량,누적체결매수수량
20240628,901,14550,14550,14550,14550,100,1450000,0,100
20240628,902,14580,14720,14580,14720,773,11360000,0,873
20240628,903,14560,14560,14550,14550,10,150000,9,874
20240628,904,14540,14540,14520,14520,30,430000,39,874
20240628,905,14520,14520,14520,14520,1,20000,40,874
20240628,907,14530,14530,14530,14530,14,200000,54,874
20240628,908,14550,14610,14550,14610,6,90000,54,880
20240628,910,14560,14560,14560,14560,19,270000,54,899
20240628,913,14560,14560,14560,14560,1,20000,54,900
20240628,914,14560,14560,14510,14520,158,2290000,210,902
20240628,915,14550,14560,14550,14560,4,60000,210,906
20240628,916,14550,14550,14550,14550,3,40000,212,907
20240628,917,14540,14540,14540,14540,4,60000,212,911
20240628,918,14550,14550,14550,14550,1,20000,212,912
20240628,919,14550,14550,14550,14550,1,10000,212,913
20240628,920,14550,14550,14550,14550,50,730000,212,963
20240628,922,14550,14550,14540,14540,11,160000,222,964
20240628,923,14530,14540,14530,14540,19,280000,240,965
20240628,924,14540,14540,14540,14540,1,10000,240,966
20240628,926,14520,14520,14520,14520,2,30000,242,966
20240628,927,14510,14510,14450,14500,369,5350000,596,981
20240628,928,14500,14500,14490,14490,100,1450000,646,1031
20240628,929,14450,14500,14450,14500,33,480000,665,1045
20240628,930,14450,14450,14430,14440,760,10970000,1392,1078
20240628,931,14440,14440,14400,14410,1153,16630000,2518,1105
20240628,932,14440,14440,14440,14440,19,270000,2518,1124
20240628,933,14440,14440,14440,14440,5,70000,2518,1129
20240628,934,14430,14440,14430,14440,130,1880000,2548,1229
20240628,935,14440,14440,14440,14440,53,760000,2548,1282
20240628,936,14440,14450,14440,14450,157,2270000,2548,1439
20240628,937,14440,14440,14430,14430,20,290000,2568,1439
20240628,938,14430,14450,14430,14450,11,160000,2578,1440
20240628,939,14450,14450,14450,14450,22,320000,2578,1462
20240628,940,14450,14450,14450,14450,51,730000,2578,1513
20240628,941,14450,14450,14440,14440,7,100000,2583,1515
20240628,944,14440,14440,14440,14440,3,50000,2583,1518
20240628,945,14430,14440,14430,14430,44,630000,2594,1551
20240628,947,14430,14430,14430,14430,10,150000,2594,1561
20240628,948,14430,14430,14420,14420,48,690000,2604,1599
20240628,950,14430,14430,14430,14430,1,10000,2604,1600
20240628,951,14430,14430,14420,14420,22,320000,2613,1613
20240628,952,14430,14430,14430,14430,5,70000,2613,1618
20240628,953,14430,14430,14430,14430,151,2180000,2613,1769
20240628,954,14430,14440,14430,14440,56,810000,2668,1770
20240628,955,14440,14440,14440,14440,94,1360000,2668,1864
20240628,959,14450,14450,14450,14450,86,1240000,2668,1950
20240628,1001,14460,14460,14460,14460,1,20000,2668,1951
20240628,1002,14460,14490,14460,14490,216,3120000,2680,2155
20240628,1005,14470,14480,14470,14480,155,2250000,2723,2267
20240628,1006,14480,14500,14480,14500,172,2490000,2723,2439
20240628,1007,14500,14500,14500,14500,51,740000,2723,2490
20240628,1008,14500,14500,14500,14500,10,140000,2723,2500
20240628,1009,14500,14500,14500,14500,7,100000,2723,2507
20240628,1010,14470,14470,14470,14470,200,2900000,2923,2507
20240628,1012,14470,14470,14470,14470,119,1720000,3042,2507
20240628,1014,14470,14470,14470,14470,6,90000,3042,2513
20240628,1016,14470,14470,14470,14470,5,70000,3042,2518
20240628,1017,14460,14460,14460,14460,11,160000,3053,2518
20240628,1018,14460,14460,14460,14460,95,1370000,3148,2518
20240628,1019,14470,14470,14470,14470,131,1900000,3148,2649
20240628,1020,14470,14470,14470,14470,132,1910000,3280,2649
20240628,1022,14470,14470,14460,14460,31,450000,3281,2679
20240628,1023,14460,14470,14460,14470,6,80000,3286,2680
